x,아군 점수,적군 점수,아군 남긴 깃,적군 남긴 깃
2020-02-02,3890,3036,9,32
2020-02-05,4476,3643,7,1
2020-02-09,4565,4239,11,14
2020-02-13,4091,4082,14,9
2020-02-17,3682,4402,16,17
2020-02-24,4471,3646,15,12
2020-02-27,3877,3953,4,6
