x,아군 점수,적군 점수,아군 남긴 깃,적군 남긴 깃
2019-12-05,3702,,25,
2019-12-08,3727,,26,
2019-12-12,3587,,32,
2019-12-15,3229,,20,
2019-12-19,3700,,18,
2019-12-22,3488,,17,
2019-12-26,3440,,17,
2019-12-29,3669,,22,
